k, flow, paths, time
9,1847, 54455, 6490796
9,1791, 54710, 6425889
9,2043, 54981, 6928619
9,1424, 55159, 3948335
9,2052, 55438, 6633855
9,2548, 55770, 8150182
9,2453, 56093, 6833091
9,2046, 56390, 6541795
9,1925, 56636, 5563294
9,2520, 56952, 7276167
9,1862, 57183, 5607026
9,2515, 57526, 7448723
9,1833, 57765, 5795999
9,2054, 58038, 7483835
9,1851, 58295, 6524012
9,3206, 58735, 11327076
9,2779, 59094, 11826571
9,2266, 59412, 9620522
9,2566, 59737, 10952001
9,2563, 60086, 9327677
9,1617, 60317, 5636284
9,1859, 60559, 5580934
9,2269, 60879, 7552879
9,2604, 61224, 7962745
9,2296, 61548, 8301873
9,1075, 61687, 3609575
9,2242, 61998, 7684570
9,2433, 62344, 7840271
9,1469, 62536, 4211280
9,1686, 62756, 4766605
9,1680, 62971, 5339915
10,3916, 63353, 17109893
10,4413, 63768, 20109919
10,5032, 64241, 24621574
10,3678, 64603, 19098000
10,4198, 65012, 20266726
10,5405, 65514, 24906382
10,4732, 65966, 23813861
10,4635, 66391, 19224666
10,5973, 66937, 24318632
10,3989, 67323, 17229447
10,4385, 67721, 17829993
10,4166, 68118, 20095863
10,5258, 68628, 24020961
10,4570, 69063, 20494487
10,4238, 69466, 20199804
10,5195, 69925, 21926187
10,4466, 70336, 20617058
10,4411, 70758, 18472295
10,3757, 71106, 16851486
10,5482, 71606, 23591708
10,3517, 71930, 15142403
10,4223, 72332, 17738349
10,5274, 72817, 22563885
10,4996, 73273, 20592922
10,5611, 73825, 26219853
10,5178, 74338, 23705114
10,4040, 74713, 21030741
10,3802, 75068, 17676635
10,4692, 75529, 22983823
10,5538, 76060, 25929239
10,4465, 76473, 17956893
10,3601, 76798, 15392892
10,3662, 77146, 18154921
10,2970, 77431, 13817578
10,5549, 77957, 25112794
10,3230, 78253, 13449452
10,4080, 78636, 17363483
10,4264, 79025, 19636757
10,5824, 79558, 27268892
10,3569, 79915, 15715282
10,4571, 80334, 18677999
10,3656, 80681, 15500873
10,3961, 81049, 16741232
10,3995, 81413, 16620779
10,4819, 81874, 23757360
10,5031, 82331, 23304705
10,2986, 82622, 12805610
10,4515, 83054, 19842398
10,4238, 83474, 20722540
10,4627, 83901, 21845593
10,5221, 84364, 22738550
10,3854, 84734, 16497474
10,3683, 85090, 15649497
10,4699, 85519, 19919405
10,4349, 85915, 19706929
10,4091, 86299, 16376544
10,4771, 86760, 20475534
10,3559, 87074, 14881481
10,4743, 87520, 21022501
10,4842, 87978, 21213972
10,4140, 88372, 20150059
10,3920, 88730, 16774598
10,3455, 89061, 15900820
10,4434, 89473, 19811534
10,2455, 89715, 12717052
10,4817, 90150, 21988504
10,3801, 90499, 20787338
10,6206, 91094, 27580679
10,3899, 91454, 16622043
10,4821, 91926, 24265668
10,4513, 92339, 19816839
10,3069, 92625, 14369769
10,5473, 93123, 25861233
10,5470, 93646, 25620923
