k, flow, paths, time
7,453, 106, 362692
7,433, 101, 352306
7,299, 69, 293736
7,398, 101, 357300
7,408, 98, 327131
7,494, 121, 434322
7,547, 129, 452818
7,400, 95, 314621
8,1038, 171, 1088361
8,1067, 182, 1579957
8,690, 124, 864879
8,801, 139, 935067
8,878, 154, 989426
8,779, 133, 896199
8,1083, 186, 1251332
8,940, 161, 1260013
8,711, 133, 948049
8,1047, 171, 1105020
8,839, 156, 1049859
8,727, 127, 903795
8,872, 146, 1093733
8,882, 153, 1410312
8,926, 166, 1069707
8,876, 163, 991743
8,1160, 194, 1319287
8,1073, 186, 1183064
8,1208, 230, 2237910
8,881, 146, 1567709
8,998, 162, 1845812
8,821, 137, 1591447
8,924, 145, 1844168
8,954, 148, 1844881
8,1171, 202, 2387597
8,819, 151, 1811820
8,947, 167, 2255217
8,925, 147, 2298406
8,792, 140, 2056013
8,926, 145, 2624305
8,858, 151, 2343631
8,650, 109, 793938
8,913, 153, 1061147
8,759, 129, 815983
8,846, 133, 957167
8,708, 121, 860144
8,741, 120, 940668
8,778, 130, 799927
8,1158, 189, 1251948
8,868, 148, 921109
8,1076, 180, 1191179
8,1365, 222, 1568610
8,1179, 187, 1189914
8,1132, 189, 1383113
8,1137, 178, 1309690
8,1061, 182, 1213151
8,1273, 223, 1590946
8,974, 168, 1133036
8,956, 150, 891206
8,1169, 187, 1218683
8,1086, 169, 1133942
8,1481, 232, 1681443
8,891, 159, 985957
8,872, 152, 1079902
8,1111, 207, 1378102
8,886, 135, 778533
8,897, 161, 1285013
8,944, 168, 1179082
8,826, 139, 1035121
8,1102, 188, 1296065
8,979, 168, 1177028
8,730, 138, 1058554
8,1230, 225, 1556350
8,706, 120, 836121
8,868, 153, 1091626
8,678, 124, 853459
8,518, 97, 594534
8,831, 140, 1306159
8,800, 142, 1707472
8,708, 128, 1805130
8,1165, 205, 2846315
8,1105, 174, 2363439
8,1213, 206, 3083300
8,1356, 259, 1980716
8,1082, 189, 1192396
8,1051, 175, 1166283
8,1041, 151, 910343
8,991, 159, 1558150
8,895, 147, 1880377
8,1110, 194, 2210636
8,810, 126, 1402461
8,505, 88, 1061362
8,1019, 175, 1924572
8,719, 122, 1231672
8,677, 120, 1847955
8,1058, 183, 2845121
8,951, 164, 2587360
8,871, 143, 1732051
8,628, 102, 709917
8,967, 151, 1009739
8,1439, 238, 1741513
8,958, 157, 1105913
8,922, 143, 921116
8,884, 145, 913307
8,944, 155, 1021669
8,1146, 196, 1360821
8,852, 153, 991472
8,876, 142, 933505
8,1146, 198, 1281601
8,1024, 160, 1115085
9,2359, 336, 5061577
9,1942, 256, 3868006
9,1611, 225, 2972613
9,2413, 315, 4398994
9,2233, 301, 4390655
9,1793, 227, 2853287
9,1471, 197, 2943491
9,1921, 254, 3228942
9,1896, 252, 3508084
9,1427, 194, 2767443
9,2218, 306, 3890276
9,2287, 316, 4736739
9,2271, 308, 4164496
9,1323, 183, 2635490
9,1545, 202, 2764605
9,1340, 180, 2364680
9,1736, 231, 2696765
9,1773, 245, 5375451
9,2188, 284, 8016260
9,2071, 268, 5162271
9,2324, 307, 4488916
9,1874, 264, 3784698
9,2017, 277, 3839518
9,2417, 299, 4323262
9,1462, 206, 2710344
9,2028, 277, 3465050
9,1857, 257, 3887389
9,1884, 263, 3724982
9,2676, 347, 4723010
9,2376, 332, 4235408
9,1376, 189, 2495267
9,2152, 290, 4324585
9,1832, 246, 3039828
9,2152, 276, 3737176
9,1805, 257, 4204620
9,2577, 329, 9123108
9,2329, 338, 5931622
9,2570, 357, 4943551
9,2543, 341, 4403822
9,1320, 192, 2743758
9,2335, 307, 4095363
9,1736, 231, 3004508
9,1870, 267, 4023999
9,2042, 268, 3747892
9,2503, 351, 5001290
9,2778, 370, 5277554
9,2422, 325, 4387244
9,2038, 284, 4208304
9,2726, 392, 5702530
9,2771, 380, 4878728
9,1940, 263, 3808654
9,2190, 296, 4023040
9,2514, 360, 4920935
9,2498, 335, 4007775
9,1766, 241, 5342026
9,1627, 231, 6429188
9,2138, 283, 5041502
